client_user_id,paid_at,Recency,Frequency,Monetary,category_Desain Grafis & Branding,category_Gaya Hidup,category_Konsultasi,category_Pemasaran & Periklanan,category_Penulisan & Penerjemahan,category_Unknown,"category_Video, Fotografi & Audio",category_Web & Pemrograman,Cluster
wi****08,2024-05-13 12:27:00,202,2,488920,1,0,0,0,0,1,0,0,3
wi****48,2024-05-20 12:04:00,195,1,758924,0,0,0,1,0,0,0,0,0
wi****97,2024-10-14 10:56:00,48,1,303302,0,0,0,0,1,0,0,0,2
wi****am,2024-01-17 15:17:00,319,1,102015,0,0,0,0,1,0,0,0,2
wi****az,2024-07-05 16:28:00,149,1,100836,0,0,0,1,0,0,0,0,0
wi*ha,2024-10-04 18:06:00,58,1,353920,0,0,0,0,0,0,0,1,2
wo******32,2024-04-30 11:28:00,215,3,802687,0,0,0,0,1,1,0,0,3
wt*****in,2024-09-16 14:51:00,76,3,1326503,0,0,0,1,0,0,0,0,0
wu*****zy,2024-04-18 14:13:00,227,3,303613,1,0,0,0,0,0,0,0,1
xd*****88,2024-04-22 11:53:00,223,3,1513103,0,0,0,0,1,0,0,0,2
xi******uz,2024-10-02 18:31:00,60,1,101100,1,0,0,0,0,0,0,0,1
xk****e_,2024-03-10 13:39:00,266,1,100455,0,0,0,1,0,0,0,0,0
ya************91,2024-11-10 20:10:00,21,1,100089,0,0,0,1,0,0,0,0,0
ya*********na,2024-11-20 09:34:00,11,5,1061577,0,0,0,0,1,0,0,0,2
ya********ll,2023-11-02 11:05:00,395,2,304907,1,0,0,0,0,0,0,0,1
ya********ya,2024-10-22 09:39:00,40,1,156705,0,0,0,1,0,0,0,0,0
ya******ti,2024-06-12 10:33:00,172,2,223256,0,0,0,0,1,0,0,0,2
ya****23,2024-05-03 09:33:00,212,1,2528182,0,0,0,0,0,1,0,0,3
ya****el,2024-09-19 10:21:00,73,3,300267,0,0,0,1,0,0,0,0,0
ye********an,2023-11-08 10:55:00,389,1,521406,0,0,0,0,0,1,0,0,3
ye******23,2024-09-20 15:45:00,72,3,1110173,0,0,0,1,0,0,0,0,0
ye*****es,2024-07-25 21:22:00,129,1,100089,0,0,0,0,1,0,0,0,2
yi****an,2024-10-31 15:54:00,31,2,960477,0,0,0,0,0,1,0,0,3
yo***********78,2024-05-21 03:00:00,195,1,100735,0,0,0,1,0,0,0,0,0
yo**********ra,2024-09-12 07:00:00,81,1,113284,0,0,1,0,0,0,0,0,2
yo*********ng,2024-11-08 10:39:00,23,1,1516574,0,0,0,0,1,0,0,0,2
yo********ih,2024-06-03 16:46:00,181,1,1110000,0,0,0,1,0,0,0,0,0
yo*******52,2024-11-29 12:01:00,2,1,100058,1,0,0,0,0,0,0,0,1
yo*******91,2024-06-26 07:56:00,158,4,402135,1,0,0,0,0,0,1,0,1
yo*******at,2024-01-09 10:34:00,327,2,1506107,1,0,0,0,0,1,0,0,3
yo*******na,2024-10-12 12:04:00,50,1,505500,0,0,0,0,0,0,0,1,2
yo******43,2024-02-05 10:52:00,300,1,2577764,1,0,0,0,0,0,0,0,1
yo******75,2024-10-09 17:22:00,53,2,808832,0,0,0,0,0,1,0,0,3
yo******93,2024-05-30 10:34:00,185,2,928549,1,0,0,1,0,0,0,0,1
yo******ia,2024-10-14 12:25:00,48,1,101103,0,0,0,1,0,0,0,0,0
yo******nw,2024-03-18 11:19:00,258,2,925563,1,0,0,1,0,0,0,0,1
yo*****an,2024-09-02 21:26:00,90,1,100089,0,0,0,0,1,0,0,0,2
yo*****di,2024-02-28 08:31:00,277,1,100932,0,0,0,1,0,0,0,0,0
yo*****en,2024-10-11 21:03:00,51,2,252750,1,0,0,1,0,0,0,0,0
yo****ar,2023-10-23 11:44:00,405,1,528406,1,0,0,0,0,0,0,0,1
yo****z8,2024-09-21 02:01:00,72,1,1011000,0,0,0,1,0,0,0,0,0
yu**********ar,2024-05-16 11:44:00,199,1,100428,0,0,0,1,0,0,0,0,0
yu********ah,2024-09-08 08:58:00,84,3,809168,1,0,0,1,0,0,0,0,0
yu*******00,2023-10-10 09:53:00,418,1,522999,0,0,0,0,0,1,0,0,3
yu*******hk,2024-01-05 16:25:00,331,1,506005,1,0,0,0,0,0,0,0,1
yu*******ra,2024-11-15 14:56:00,16,1,100089,1,0,0,0,0,0,0,0,1
yu******18,2024-10-01 13:08:00,61,2,713289,0,0,0,1,0,0,0,0,0
yu******21,2023-10-31 15:57:00,397,1,2577450,1,0,0,0,0,0,0,0,1
yu******26,2024-10-11 13:41:00,51,1,369383,0,0,0,1,0,0,0,0,0
yu******43,2024-01-02 10:06:00,334,1,2527610,1,0,0,0,0,0,0,0,1
yu******57,2024-01-27 18:40:00,309,1,179618,1,0,0,0,0,0,0,0,1
yu******79,2024-01-24 15:29:00,312,1,86875,0,0,0,1,0,0,0,0,0
yu******89,2024-02-01 08:36:00,304,1,51525,0,0,0,1,0,0,0,0,0
yu******91,2024-01-18 11:11:00,318,2,708565,0,0,0,0,1,1,0,0,3
yu******ti,2024-05-15 11:28:00,200,1,152390,1,0,0,0,0,0,0,0,1
yu******ul,2024-10-07 08:36:00,55,1,100089,1,0,0,0,0,0,0,0,1
yu*****18,2024-04-24 14:18:00,221,1,152448,0,0,0,0,0,0,0,1,2
yu*****27,2024-11-10 09:18:00,21,2,200218,0,0,0,1,0,0,0,0,0
yu*****31,2024-10-13 18:53:00,49,1,758263,1,0,0,0,0,0,0,0,1
yu****88,2024-06-10 13:55:00,174,1,100947,0,0,0,1,0,0,0,0,0
yu****ah,2024-07-20 20:15:00,134,1,403389,0,0,0,1,0,0,0,0,0
yu***k2,2024-07-23 11:36:00,131,1,101100,0,0,0,1,0,0,0,0,0
yu*hy,2024-10-09 10:03:00,53,2,231519,0,0,0,0,1,0,0,0,2
yv******57,2024-01-30 16:19:00,306,1,180130,1,0,0,0,0,0,0,0,1
yy******03,2024-08-27 17:03:00,96,1,525720,1,0,0,0,0,0,0,0,1
za********11,2024-06-07 08:33:00,177,1,102076,0,0,0,0,0,0,0,1,2
za********30,2024-05-08 14:37:00,207,1,303462,1,0,0,0,0,0,0,0,1
za******25,2024-01-17 16:34:00,319,1,505698,0,0,0,0,0,0,0,1,2
za******71,2024-01-13 14:40:00,323,1,1149270,0,0,0,0,0,1,0,0,3
za*****ul,2024-10-11 14:10:00,51,1,151650,1,0,0,0,0,0,0,0,1
za****12,2024-10-03 23:33:00,59,1,101119,0,0,0,0,1,0,0,0,2
za****jy,2024-10-07 00:50:00,56,1,100128,0,0,0,1,0,0,0,0,0
za****ri,2023-11-06 15:29:00,391,1,180355,1,0,0,0,0,0,0,0,1
ze*****en,2024-06-25 11:03:00,159,1,172039,1,0,0,0,0,0,0,0,1
ze****21,2024-07-01 22:25:00,153,1,100788,0,0,0,1,0,0,0,0,0
ze****88,2024-08-11 12:21:00,112,1,657150,0,0,0,1,0,0,0,0,0
zh*******aa,2024-10-23 10:56:00,39,3,300297,1,0,0,0,0,0,1,0,1
zh****01,2024-10-24 18:30:00,38,1,100089,0,0,0,1,0,0,0,0,0
zi******52,2023-12-06 13:24:00,361,1,122191,1,0,0,0,0,0,0,0,1
zi*****78,2023-11-21 10:05:00,376,1,366219,0,0,0,0,0,1,0,0,3
zi****93,2024-08-22 11:03:00,101,2,389396,0,0,0,1,0,0,0,0,0
zp*******ze,2024-01-08 15:31:00,328,1,50847,0,0,0,0,1,0,0,0,2
zs******20,2024-01-25 18:03:00,311,1,354285,0,0,0,1,0,0,0,0,0
zu*******gt,2024-09-24 00:59:00,69,1,232530,1,0,0,0,0,0,0,0,1
zu*****96,2023-12-20 10:07:00,347,1,179703,1,0,0,0,0,0,0,0,1
zu****iz,2024-05-30 11:28:00,185,1,480441,0,0,0,0,0,1,0,0,3
